OBJECTID,GLOBAL_ID,REMARKS,FREQ_TRANS,FREQ_REC,FREQ_UOM,TYPE_CODE,SERVICE_ID,FREQ_ALT,FREQ_USAGE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1,6CD0D620-68FA-463E-A588-7A08B88C8EC1,,124.3,124.3,,ATIS,DC73726D-D80B-4B69-990C-094DC77454B1,,BLANK,1,1,0,0,0,0
2,717154A0-D000-4245-9E4B-EFB4CD074BF7,,273.5,273.5,,ATIS,DC73726D-D80B-4B69-990C-094DC77454B1,,BLANK,1,1,0,0,0,0
3,E7B3A326-8AA2-4EAC-958F-38A50FAF2CF0,,124.25,124.25,,ATIS,ABA58887-4F92-42ED-B079-40D9F29FA1DB,,BLANK,1,1,0,0,0,0
4,0E053C01-5488-471B-ACF9-AE6EBA68F94F,,135.5,135.5,,ATIS,4C665453-2481-4010-A549-90E285A53236,,BLANK,1,1,0,0,0,0
5,C3238EEB-760F-4ECA-954C-06E9DC1BD193,,119.8,119.8,,ATIS,3996AA6D-9BDF-4E56-9CE2-F3545493BFC1,,BLANK,1,1,0,0,0,0
6,09103B7E-2312-4DF6-9EAF-49D508AB4955,,132.075,132.075,,ATIS,D25D1430-C865-4BE2-A585-6DD7EAAB960A,,BLANK,1,1,0,0,0,0
7,9FDCA1FF-D7F1-4C45-AF60-DE567439C33B,,119.9,119.9,,ATIS,F6A08061-F2FB-41A2-BE4D-2AC5D0368084,,BLANK,1,1,0,0,0,0
8,8A4D40F3-64ED-43D6-8430-33A20A1C5AAB,,273.5,273.5,,ATIS,F6A08061-F2FB-41A2-BE4D-2AC5D0368084,,BLANK,1,1,0,0,0,0
9,0ADD0EAA-28DA-49B1-BC51-07931DC02EC4,,134.25,134.25,,ATIS,2149613D-6B07-40CF-BCB4-D2EEB723C0D1,,BLANK,1,1,0,0,0,0
10,E88ABDB4-4906-4616-86FD-F95EE7DDC1C6,,135.2,135.2,,ATIS,0DC8DD96-2214-4CE8-849E-FF9712A30918,,BLANK,1,1,0,0,0,0
11,CCAAF3CB-20B3-4EBD-BA4D-1F5AAA741600,,133.35,133.35,,ATIS,76AEB418-1285-4517-BB04-99FF177DE7D2,,BLANK,1,1,0,0,0,0
12,087AC2F1-7478-44A6-B657-9EE0B92D1D20,,128.8,128.8,,ATIS,E949A6C2-C941-4E7A-A211-F887BF2A94F5,,BLANK,1,1,0,0,0,0
13,9997198E-1B3A-4734-B163-4704EC11453C,,134.45,134.45,,ATIS,2A2F205F-9FF9-44C9-AD4F-9537FB872D03,,BLANK,1,1,0,0,0,0
14,C44E784A-D164-4CCC-B3B0-C3840FBFA68A,,119.4,119.4,,ATIS,D8C78805-E39C-40F4-8E95-2E348252CCF0,,BLANK,0,0,1,1,0,0
15,27575597-40B9-4174-B1C0-B7328993DBAD,,270.1,270.1,,ATIS,D8C78805-E39C-40F4-8E95-2E348252CCF0,,BLANK,0,0,1,1,0,0
16,D654D01F-E6AC-4F08-A08F-7349E09C1AD1,,376.5,376.5,,ATIS,9B277E95-45D0-4774-8980-9F137CBD8C35,,BLANK,0,0,1,0,0,0
17,4AD4A87D-00EE-4D29-8AD1-53AFF0299E0F,,141.375,141.375,,ATIS,91B4973A-4532-440A-B600-B63B01B35927,,BLANK,0,0,1,0,0,0
18,5BD9B6B5-3979-42FA-B2F6-74F3ADBB0816,,361.1,361.1,,ATIS,A00E77E4-27FD-4C09-A103-8B17280AE358,,BLANK,0,0,1,0,0,0
19,00A0C2A6-7A9D-45A1-A93A-57F05BFC84D9,,316.15,316.15,,ATIS,06464F31-5586-43C1-B501-B04F67903DB1,,BLANK,0,0,1,1,0,0
20,0C4B912C-2A8C-4D73-8CC7-3FA3B8C63861,,121.25,121.25,,ATIS,1D34F3C9-9C07-4983-9C3E-0BF8DF0C4B5F,,BLANK,0,0,1,1,0,0
21,84E549F5-8BD5-494F-BA14-C04AA4E96C3C,,135.575,135.575,,ATIS,684B37E4-04E8-4F60-953F-47F64E731CE6,,BLANK,0,0,1,1,0,0
22,7B19A33F-7FFD-4CDB-9F8B-86B96CCD83F9,,124.75,124.75,,ATIS,9772B81A-D550-4DCA-8D04-5D9875AAC663,,BLANK,0,0,1,1,0,0
23,D456BA56-3837-4AEB-88A1-F8E5988D330F,,257.85,257.85,,ATIS,9772B81A-D550-4DCA-8D04-5D9875AAC663,,BLANK,0,0,1,1,0,0
24,B08EB9BD-AE16-4314-87AC-493CF450DEB2,,134.7,134.7,,ATIS,748D30FE-DC3E-4486-8276-F7090F4F6817,,BLANK,0,0,1,1,0,0
25,019AD4B0-A21F-40BA-B66E-E328CE6BA3BB,,269.9,269.9,,ATIS,748D30FE-DC3E-4486-8276-F7090F4F6817,,BLANK,0,0,1,1,0,0
26,AA8D3D63-81BF-4BDF-B7A6-4FA8280C77AB,,120.675,120.675,,ATIS,39EA0DEA-8817-4DF4-9419-8239F0C83294,,BLANK,0,0,1,1,0,0
27,09F62DD4-D0E3-45C6-8154-3E93CC81DAE5,,120.925,120.925,,ATIS,8D09C2A3-B68D-4EDE-8AC3-CE21021B7A18,,BLANK,0,0,1,1,0,0
28,A5D93420-6AA1-4352-A061-0352C69148A2,,119.575,119.575,,ATIS,7A88F0FE-CEBF-4B45-9A54-C5F7C3781C8D,,BLANK,0,0,1,1,0,0
29,BB29FA98-E726-4958-B6E0-E3A96E9B400A,,119.425,119.425,,ATIS,7464B4C1-8090-4268-913C-CAD473120050,,BLANK,0,0,1,1,0,0
30,D516B41A-E0C6-4219-B822-1500849EE99C,,119.175,119.175,,ATIS,B6BDDB90-D622-4E62-BEEC-F524615D612B,,BLANK,0,0,1,1,0,0
31,C0FE0AAD-2028-400E-BBFE-FE63BE3F4AD5,,251.1,251.1,,ATIS,B6BDDB90-D622-4E62-BEEC-F524615D612B,,BLANK,0,0,1,1,0,0
32,B1F1B2D7-8556-4BCE-9D0F-A8896F9F6A1D,,125.65,125.65,,ATIS,26A0D2F1-9297-4F35-AF4D-62520B3E2472,,BLANK,0,0,1,1,0,0
